index_code,industry_name,level
801023.SI,石油开采,L2
801021.SI,煤炭开采,L2
801022.SI,其他采掘,L2
801024.SI,采掘服务,L2
801035.SI,石油化工,L2
801033.SI,化学原料,L2
801034.SI,化学制品,L2
801032.SI,化学纤维,L2
801036.SI,塑料,L2
801037.SI,橡胶,L2
801041.SI,钢铁,L2
801055.SI,工业金属,L2
801053.SI,黄金,L2
801054.SI,稀有金属,L2
801051.SI,金属非金属新材料,L2
801711.SI,水泥制造,L2
801712.SI,玻璃制造,L2
801713.SI,其他建材,L2
801721.SI,房屋建设,L2
801722.SI,装修装饰,L2
801725.SI,园林工程,L2
801723.SI,基础建设,L2
801724.SI,专业工程,L2
801731.SI,电机,L2
801732.SI,电气自动化设备,L2
801733.SI,电源设备,L2
801734.SI,高低压设备,L2
801072.SI,通用机械,L2
801074.SI,专用设备,L2
801073.SI,仪器仪表,L2
801075.SI,金属制品,L2
801076.SI,运输设备,L2
801741.SI,航天装备,L2
801742.SI,航空装备,L2
801743.SI,地面兵装,L2
801744.SI,船舶制造,L2
801094.SI,汽车整车,L2
801093.SI,汽车零部件,L2
801092.SI,汽车服务,L2
801881.SI,其他交运设备,L2
801111.SI,白色家电,L2
801112.SI,视听器材,L2
801131.SI,纺织制造,L2
801132.SI,服装家纺,L2
801143.SI,造纸,L2
801141.SI,包装印刷,L2
801142.SI,家用轻工,L2
801144.SI,其他轻工制造,L2
801203.SI,一般零售,L2
801204.SI,专业零售,L2
801205.SI,商业物业经营,L2
801202.SI,贸易,L2
801016.SI,种植业,L2
801015.SI,渔业,L2
801011.SI,林业,L2
801014.SI,饲料,L2
801012.SI,农产品加工,L2
801013.SI,农业综合,L2
801017.SI,畜禽养殖,L2
801018.SI,动物保健,L2
801123.SI,饮料制造,L2
801124.SI,食品加工,L2
801212.SI,景点,L2
801213.SI,酒店,L2
801214.SI,旅游综合,L2
801211.SI,餐饮,L2
801215.SI,其他休闲服务,L2
801151.SI,化学制药,L2
801155.SI,中药,L2
801152.SI,生物制品,L2
801154.SI,医药商业,L2
801153.SI,医疗器械,L2
801156.SI,医疗服务,L2
801161.SI,电力,L2
801164.SI,水务,L2
801163.SI,燃气,L2
801162.SI,环保工程及服务,L2
801171.SI,港口,L2
801175.SI,高速公路,L2
801172.SI,公交,L2
801173.SI,航空运输,L2
801174.SI,机场,L2
801176.SI,航运,L2
801177.SI,铁路运输,L2
801178.SI,物流,L2
801181.SI,房地产开发,L2
801182.SI,园区开发,L2
801081.SI,半导体,L2
801083.SI,元件,L2
801084.SI,光学光电子,L2
801082.SI,其他电子,L2
801085.SI,电子制造,L2
801101.SI,计算机设备,L2
801222.SI,计算机应用,L2
801761.SI,文化传媒,L2
801751.SI,营销传播,L2
801752.SI,互联网传媒,L2
801223.SI,通信运营,L2
801102.SI,通信设备,L2
801192.SI,银行,L2
801193.SI,证券,L2
801194.SI,保险,L2
801191.SI,多元金融,L2
801231.SI,综合,L2
